_id,location,language,nationality,age,sex,hearing_impairments,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,musical_expertise,concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,musical_background,visual_impairments,song_inspired,song_wonder,song_spirituality,song_thrills,song_chills,song_tenderness,song_nostalgia,song_goosebumps,song_overwhelmed,song_shivers,song_chillsshiversthrills,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song,musicpref_rock,musicpref_traditional_irish,musicpref_hip_hop,musicpref_jazz,musicpref_pop,musicpref_hiphop,musicpref_world,musicpref_none,musicpref_classical,musicpref_folk,musicpref_dance
570eb76a83a73509d0e03493,taichung_city,en,taiwanese,17.0,male,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,True,3.0,3.0,3.0,1.0,3.0,3.0,-1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,1,0.0,0,0,0
570eb76a83a73509d0e0349c,taipei_city,en,taiwanese,18.0,female,False,4.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,True,4.0,4.0,2.0,4.0,4.0,4.0,-1.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,1,0,1,0.0,0,0,0
570eb76f83a73509d0e0361a,taichung_city,en,taiwanese,27.0,female,False,4.0,4.0,3.0,4.0,1.0,4.0,2.0,4.0,5.0,4.0,2.0,2.0,True,4.0,3.0,4.0,3.0,5.0,4.0,-1.0,3.0,4.0,4.0,4.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,1,0,0,0.0,0,1,0
570eb77083a73509d0e03679,taipei_city,en,taiwanese,20.0,female,False,3.0,1.0,5.0,4.0,1.0,5.0,4.0,2.0,4.0,3.0,5.0,5.0,True,5.0,3.0,4.0,4.0,3.0,3.0,-1.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,,,,,,,,,,,,,,,,,,hallelujah,1,0,0,1,1,1,1,0.0,1,0,0
570eb77b83a73509d0e03a1b,taipei_city,en,taiwanese,27.0,male,False,4.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,3.0,True,4.0,2.0,2.0,3.0,2.0,2.0,-1.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,1,0,0,0.0,0,0,0
570eb78a83a73509d0e03e96,taipei_city,zh_TW,thai,9.0,male,False,4.0,1.0,5.0,3.0,5.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,True,5.0,5.0,5.0,5.0,5.0,5.0,-1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,1,0,0,0.0,0,0,0
570eb78a83a73509d0e03ea6,taipei_city,en,taiwanese,13.0,female,False,4.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,1.0,3.0,5.0,True,2.0,3.0,1.0,3.0,3.0,3.0,-1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,1,0,0,0.0,1,0,0
570eb78b83a73509d0e03f1b,taipei_city,en,taiwanese,9.0,male,False,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,1.0,4.0,True,2.0,3.0,2.0,3.0,4.0,3.0,-1.0,2.0,5.0,4.0,5.0,5.0,4.0,2.0,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0.0,1,0,0
570eb79583a73509d0e0421c,taipei_city,en,taiwanese,13.0,female,False,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,2.0,2.0,3.0,True,3.0,5.0,4.0,4.0,3.0,4.0,-1.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,1,0,0,0.0,0,0,0
570eb79883a73509d0e04314,taipei_city,zh_TW,taiwanese,11.0,male,False,2.0,3.0,2.0,1.0,3.0,5.0,2.0,4.0,5.0,1.0,2.0,2.0,True,3.0,1.0,2.0,2.0,2.0,1.0,-1.0,5.0,5.0,2.0,4.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,hallelujah,1,0,0,0,0,0,0,0.0,0,0,0
570eb79983a73509d0e04371,taipei_city,zh_TW,taiwanese,12.0,female,False,4.0,3.0,5.0,1.0,5.0,1.0,4.0,4.0,3.0,4.0,3.0,5.0,True,4.0,5.0,4.0,5.0,3.0,5.0,-1.0,3.0,4.0,4.0,4.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,1,0,0,0.0,0,0,0
570eb7a183a73509d0e045d2,taipei_city,en,taiwanese,7.0,male,False,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,True,4.0,3.0,3.0,5.0,3.0,4.0,-1.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,0,0.0,1,0,0
570eb7aa83a73509d0e04895,taichung_city,en,taiwanese,14.0,male,False,4.0,5.0,4.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,3.0,5.0,True,3.0,4.0,3.0,3.0,3.0,3.0,-1.0,3.0,4.0,3.0,4.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,0,0,1,0.0,0,0,0
570eb7aa83a73509d0e0489f,taipei_city,en,taiwanese,34.0,female,False,5.0,1.0,4.0,4.0,2.0,5.0,2.0,4.0,4.0,2.0,3.0,3.0,True,2.0,2.0,2.0,2.0,3.0,3.0,-1.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,0,1,0,0,0.0,1,0,0
570eb7aa83a73509d0e048ae,taipei_city,zh_TW,taiwanese,28.0,female,False,4.0,1.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,5.0,True,4.0,1.0,3.0,3.0,3.0,2.0,-1.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,,,,,,,,,,,,,,,,,,hallelujah,1,0,0,1,1,0,0,0.0,0,0,0
570eb7af83a73509d0e049f2,taipei_city,en,taiwanese,10.0,male,False,5.0,5.0,4.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0,True,3.0,3.0,4.0,4.0,5.0,3.0,-1.0,3.0,5.0,5.0,5.0,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,hallelujah,1,0,0,0,1,1,0,0.0,0,0,0
570eb7b083a73509d0e04a56,taichung_city,en,taiwanese,13.0,male,False,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,4.0,5.0,True,1.0,5.0,5.0,5.0,5.0,5.0,-1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,hallelujah,1,0,0,0,1,1,0,0.0,0,1,0
570eb7b483a73509d0e04b6c,taipei_city,zh_TW,taiwanese,10.0,female,False,5.0,1.0,5.0,4.0,5.0,3.0,5.0,2.0,4.0,2.0,2.0,4.0,True,3.0,5.0,4.0,5.0,5.0,4.0,-1.0,2.0,4.0,5.0,4.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,hallelujah,0,0,0,1,1,0,1,0.0,0,0,1
5410f6d008ad6ee3090e399c,dublin,,irish,20.0,male,False,,,,,,,,,,,,,True,,,,,,,,,3.0,3.0,4.0,5.0,4.0,2.0,,,3.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,2.0,,,,,,hallelujah,1,1,0,1,1,0,0,0.0,0,0,1
5410f6d108ad6ee3090e39ad,dublin,,british,32.0,male,False,,,,,,,,,,,,,True,,,,,,,,,1.0,4.0,1.0,3.0,4.0,5.0,,,4.0,5.0,4.0,1.0,4.0,5.0,5.0,4.0,4.0,3.0,,,,,,hallelujah,0,0,0,0,0,0,0,1.0,0,0,0
