_id,location,sex,musical_background,nationality,visual_impairments,musical_expertise,hearing_impairments,age,critical_reaction,control_activity,control_tension,control_engagement,control_positivity,control_like_dislike,song_chillsshiversthrills,song_activity,song_tension,song_familiarity,song_engagement,song_positivity,song_like_dislike,song_inspired,song_wonder,song_spirituality,song_thrills,song_chills,song_tenderness,song_nostalgia,song_goosebumps,song_overwhelmed,song_shivers,control_power,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song_power,language,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,concentration,song,musicpref_traditional_irish,musicpref_jazz,musicpref_folk,musicpref_hiphop,musicpref_classical,musicpref_none,musicpref_rock,musicpref_hip_hop,musicpref_world,musicpref_pop,musicpref_dance
570eb72d83a73509d0e02028,taipei_city,male,0,taiwanese,0,2,0,21.0,False,3,2,1,3,2,0,3,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,en,2,3,2,3,2,4,1,5,2,2,2,raining_blood,0,0,0,0,1,0,0,0,0,0,0
570eb71e83a73509d0e01b77,taipei_city,female,0,taiwanese,0,2,0,10.0,False,5,5,5,5,5,0,5,5,2,5,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,en,4,1,5,2,5,4,5,4,2,3,5,raining_blood,0,0,0,0,0,0,1,0,0,0,0
570eb75f83a73509d0e03106,taipei_city,female,0,taiwanese,0,1,0,26.0,True,2,2,2,2,2,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,zh_TW,4,2,3,4,4,4,4,3,3,3,2,raining_blood,0,0,0,1,0,0,1,0,0,0,0
570eb77a83a73509d0e039ff,taichung_city,male,0,taiwanese,0,2,0,43.0,False,2,2,2,2,1,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,zh_TW,2,2,2,4,2,4,2,2,4,4,4,raining_blood,0,0,0,0,1,0,1,0,0,0,0
570eb73a83a73509d0e02488,taipei_city,female,0,taiwanese,0,3,0,12.0,False,3,4,4,4,4,0,5,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,en,5,3,4,4,4,4,3,3,3,3,3,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb77883a73509d0e0392c,taipei_city,female,0,taiwanese,0,3,0,46.0,True,3,4,4,4,3,0,3,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,en,4,2,4,4,3,2,3,4,2,4,4,raining_blood,0,1,0,0,0,0,0,0,0,1,0
570eb73083a73509d0e0211e,taichung_city,male,0,taiwanese,0,3,0,27.0,False,2,3,2,1,1,0,4,4,2,4,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,zh_TW,4,4,3,4,3,4,3,5,5,3,5,raining_blood,0,0,1,0,0,0,0,0,0,1,0
570eb7b483a73509d0e04ba4,taichung_city,male,0,taiwanese,0,1,0,20.0,False,3,3,4,3,4,0,3,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,en,3,4,3,4,2,4,3,4,4,4,3,raining_blood,0,0,0,0,1,0,0,0,0,1,0
570eb76383a73509d0e0326a,taipei_city,female,0,taiwanese,0,1,0,19.0,False,2,3,2,2,2,0,2,2,3,1,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,en,3,2,3,5,2,4,4,4,2,2,3,raining_blood,0,0,0,0,1,0,0,0,0,1,0
570eb74783a73509d0e028b1,taipei_city,male,0,taiwanese,0,3,0,45.0,False,3,2,3,2,2,0,2,2,1,3,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,zh_TW,2,2,2,2,2,2,2,2,2,2,3,raining_blood,0,0,0,0,0,0,0,0,0,1,0
