,p,adjustedP,F,T2,df1,df2,D2
"('song_activity', 'song_positivity')",0.9167688106912311,3.6670752427649242,2.5254148551723343,5.082595934938031,2,159,0.12618858872949595
"('song_activity', 'song_engagement')",0.9440097701790907,3.776039080716363,2.9354749347038642,5.907874082422872,2,159,0.14667825308084373
"('song_activity', 'song_power')",0.7717928559982533,3.0871714239930133,1.5069944117606173,3.0541753411681847,2,75,0.1618380955238576
"('song_positivity', 'song_engagement')",0.7205204711926033,2.8820818847704133,1.2851023554877643,2.5863695204785193,2,159,0.06421331223257014
