,p,adjustedP,F,T2,df1,df2,D2
"('song_like_dislike', 'musical_expertise')",0.5449994787027016,1,0.7960124886367846,1.6138335386060838,2,73,0.08998631616585646
"('song_like_dislike', 'concentration')",0.3484590821937117,1,0.43093918411351584,0.873684921216443,2,73,0.04871610712578846
"('song_like_dislike', 'personality_artistic')",0.5501755841719689,1,0.8077050832952579,1.6375390729821666,2,73,0.09130812145755295
"('song_like_dislike', 'personality_fault')",0.32617135332002,1,0.39692209423750635,0.8047187663993279,2,73,0.044870598860123935
"('song_like_dislike', 'personality_imagination')",0.7971531891651927,1,1.630680680361032,3.306037543745654,2,73,0.18434251894693304
"('song_like_dislike', 'personality_lazy')",0.297942653801043,1,0.3554598781689915,0.7206583831371334,2,73,0.04018344616171837
"('song_like_dislike', 'personality_nervous')",0.33018541346500696,1,0.4029624708209674,0.81696500933566,2,73,0.045553441459655286
"('song_like_dislike', 'personality_outgoing')",0.641168738320328,1,1.0394280576330621,2.107333596297167,2,73,0.11750356076198436
"('song_like_dislike', 'personality_reserved')",0.29570427564839397,1,0.3522457774095095,0.7141421240631152,2,73,0.03982010376287362
"('song_like_dislike', 'personality_stress')",0.3610659178095454,1,0.45071407251004414,0.9137764757737881,2,73,0.05095158632341005
"('song_like_dislike', 'personality_thorough')",0.31959234369660955,1,0.38710147317123017,0.7848084661553707,2,73,0.0437604133733002
"('song_like_dislike', 'personality_trusting')",0.6149515970962518,1,0.9669731363825251,1.9604386874604618,2,73,0.10931279548568973
"('song_positivity', 'song_tension')",0.2909787054959021,1,0.3454946306131634,0.7004548675444956,2,73,0.03905691117636219
"('song_positivity', 'age')",0.8455331456445686,1,1.9163902780991577,3.8852843994339086,2,73,0.21664094963828104
"('song_positivity', 'musical_expertise')",0.5268572405356446,1,0.7560825993320444,1.5328797904266105,2,73,0.08547238743391225
"('song_positivity', 'concentration')",0.29404685349975035,1,0.3498726301737296,0.7093308118590682,2,73,0.039551828100725744
"('song_positivity', 'personality_artistic')",0.5285490696453593,1,0.7597391159177764,1.54029300213467,2,73,0.08588574333252745
"('song_positivity', 'personality_fault')",0.31607402112004446,1,0.3818895619411151,0.7742418516066444,2,73,0.04317122576823549
"('song_positivity', 'personality_imagination')",0.7879179938447991,1,1.5841980108562952,3.2117987069415297,2,73,0.17908782225059153
"('song_positivity', 'personality_lazy')",0.26162327868388796,1,0.30456477838049456,0.6174737972645643,2,73,0.034429940273005784
"('song_positivity', 'personality_nervous')",0.3175946569538951,1,0.384138786993052,0.7788019243146808,2,73,0.04342549247829475
"('song_positivity', 'personality_outgoing')",0.6080598432344619,1,0.9487674638085789,1.9235285567625984,2,73,0.10725471042843542
"('song_positivity', 'personality_reserved')",0.27031380881682127,1,0.31650509743729166,0.6416815674071118,2,73,0.035779749906779526
"('song_positivity', 'personality_stress')",0.3106091934323812,1,0.37384854487017943,0.7579395156272131,2,73,0.04226221803937505
"('song_positivity', 'personality_thorough')",0.27222372802607747,1,0.3191488033973497,0.6470414096275034,2,73,0.036078611248488816
"('song_positivity', 'personality_trusting')",0.5872224107672774,1,0.8956589378997126,1.8158564768377734,2,73,0.1012509847686506
"('song_tension', 'age')",0.8251895538810485,1,1.7863921276899952,3.621726505453689,2,73,0.2019451316320472
"('song_tension', 'musical_expertise')",0.3085409897609089,1,0.37082243313004476,0.7518043849759811,2,73,0.04192012711531516
"('song_tension', 'concentration')",0.047990643973671324,1,0.04921356442638366,0.09977544568636687,2,73,0.005563414432988909
"('song_tension', 'personality_artistic')",0.40661965716007664,1,0.5256690567818313,1.0657400055302881,2,73,0.059424974629715265
"('song_tension', 'personality_fault')",0.10781551556141451,1,0.11426081724041155,0.23165206782987546,2,73,0.012916769739596871
"('song_tension', 'personality_imagination')",0.7422530627044199,1,1.381271602601698,2.8003862628089218,2,73,0.15614772998787824
"('song_tension', 'personality_lazy')",0.01496837749548399,1,0.015084650479136236,0.030582579053591272,2,73,0.0017052648628561532
"('song_tension', 'personality_nervous')",0.06255399810636805,1,0.06465331422089686,0.13107795211907855,2,73,0.007308821981694769
"('song_tension', 'personality_outgoing')",0.5299118191321369,1,0.7626942155491331,1.546284163031119,2,73,0.0862198065960125
"('song_tension', 'personality_reserved')",0.015102729945800373,1,0.015221110457061458,0.030859237638973913,2,73,0.001720691166956726
"('song_tension', 'personality_stress')",0.09498229134208616,1,0.09993733334004,0.20261267581268383,2,73,0.011297551989555371
"('song_tension', 'personality_thorough')",0.04591820734440004,1,0.04703615550932492,0.09536097281342586,2,73,0.005317266275730276
"('song_tension', 'personality_trusting')",0.4758522748382221,1,0.6517319226274457,1.3213195143679721,2,73,0.07367592303152302
"('age', 'musical_expertise')",0.8468962683077268,1,1.925720659609989,3.904200789346279,2,73,0.21769571532671841
"('age', 'concentration')",0.8321068379440004,1,1.8287659573412154,3.7076350915958884,2,73,0.20673533892977808
"('age', 'personality_artistic')",0.9452553124409038,1,3.023813157187085,6.130470510461488,2,73,0.34183107761927595
"('age', 'personality_fault')",0.8210362391352257,1,1.7617697199571276,3.5718071034747245,2,73,0.19916165800739477
"('age', 'personality_imagination')",0.96224787274585,1,3.428295458604311,6.950516820184082,2,73,0.3875563303991124
"('age', 'personality_lazy')",0.8281676423518237,1,1.8044202250680188,3.658276620685846,2,73,0.2039831424593722
"('age', 'personality_nervous')",0.8261882425477676,1,1.792402369230699,3.6339116526868964,2,73,0.20262456757461786
"('age', 'personality_outgoing')",0.8709597473079955,1,2.106155664986271,4.270014224903673,2,73,0.23809323631157678
"('age', 'personality_reserved')",0.8224716042051649,1,1.7702120987553214,3.5889231591203776,2,73,0.20011603821947815
"('age', 'personality_stress')",0.8353935781897672,1,1.8495326825145277,3.7497374933171246,2,73,0.20908294166698566
"('age', 'personality_thorough')",0.8365810355564948,1,1.8571403714810526,3.7651613010848735,2,73,0.20994296322997094
"('age', 'personality_trusting')",0.8591851695469042,1,2.0139059842802904,4.082987474979219,2,73,0.2276647454867356
"('musical_expertise', 'concentration')",0.3100317323611421,1,0.37300268967938327,0.7562246311308044,2,73,0.04216659718704412
"('musical_expertise', 'personality_artistic')",0.5710257538418262,1,0.8562473180763259,1.73595346678488,2,73,0.09679564451625156
"('musical_expertise', 'personality_fault')",0.3415246097941039,1,0.4202287942675445,0.8519707061862546,2,73,0.04750533651515433
"('musical_expertise', 'personality_imagination')",0.7857788130669804,1,1.5737278154421552,3.190571461444369,2,73,0.17790420474671464
"('musical_expertise', 'personality_lazy')",0.27954036429838136,1,0.3293428552677853,0.6677088024607154,2,73,0.037231011729284204
"('musical_expertise', 'personality_nervous')",0.2787653904274161,1,0.32825808282975416,0.6655095377918303,2,73,0.0371083821512686
"('musical_expertise', 'personality_outgoing')",0.5883753822161442,1,0.8985247957990576,1.8216667092912402,2,73,0.10157495957896863
"('musical_expertise', 'personality_reserved')",0.28072879253805866,1,0.3310086929267485,0.6710861171665586,2,73,0.03741932861677069
"('musical_expertise', 'personality_stress')",0.3830777345634012,1,0.48622229691586927,0.9857657526513514,2,73,0.054965661923332874
"('musical_expertise', 'personality_thorough')",0.2864689780613739,1,0.3390948173164266,0.6874799036004265,2,73,0.03833343556392694
"('musical_expertise', 'personality_trusting')",0.5841403658386962,1,0.8880383128108357,1.8004064424110093,2,73,0.1003895008240915
"('concentration', 'personality_artistic')",0.44020424428098304,1,0.5848189451804545,1.185660327215168,2,73,0.0661116543421517
"('concentration', 'personality_fault')",0.13144051304540455,1,0.14119158259737036,0.28625142773165496,2,73,0.015961194796482593
"('concentration', 'personality_imagination')",0.7527284466330291,1,1.4243573380897085,2.8877381648942038,2,73,0.16101841565074065
"('concentration', 'personality_lazy')",0.031331027563447654,1,0.03184622800014693,0.06456495539755816,2,73,0.0036001002275967866
"('concentration', 'personality_nervous')",0.07204719714311271,1,0.074851050752307,0.15175281522385528,2,73,0.00846163900000954
"('concentration', 'personality_outgoing')",0.5582606690252744,1,0.8262484104746047,1.6751337637019383,2,73,0.0934043771396532
"('concentration', 'personality_reserved')",0.03404343003177563,1,0.03465284358444015,0.07025508014379647,2,73,0.003917377909705452
"('concentration', 'personality_stress')",0.09907209668988706,1,0.10447929153961051,0.21182102942277198,2,73,0.011811003841621915
"('concentration', 'personality_thorough')",0.06554433179342677,1,0.06785408512132836,0.13756718627337805,2,73,0.0076706574884642205
"('concentration', 'personality_trusting')",0.4504536387913725,1,0.6035986300456653,1.223734208859705,2,73,0.06823462940083462
"('personality_artistic', 'personality_fault')",0.4793036953710512,1,0.6584570961260817,1.334954112693974,2,73,0.07443617943121204
"('personality_artistic', 'personality_imagination')",0.770151303098058,1,1.5003505464658302,3.041806587355382,2,73,0.16960917141526707
"('personality_artistic', 'personality_lazy')",0.40041298682062926,1,0.5151151760909706,1.0443430967323786,2,73,0.05823189680972911
"('personality_artistic', 'personality_nervous')",0.4398467346894185,1,0.5841702824374674,1.1843452301471942,2,73,0.0660383253787137
"('personality_artistic', 'personality_outgoing')",0.7083617340185191,1,1.2532773680913034,2.5408911024316834,2,73,0.14167844738430516
"('personality_artistic', 'personality_reserved')",0.3983795049262251,1,0.5116818205385721,1.0373823210918998,2,73,0.057843768454133804
"('personality_artistic', 'personality_stress')",0.4390677203478866,1,0.5827583165648113,1.1814826144053707,2,73,0.06587870777315347
"('personality_artistic', 'personality_thorough')",0.402569810864138,1,0.5187698822918394,1.0517526380711264,2,73,0.05864504805092121
"('personality_artistic', 'personality_trusting')",0.7566741361196572,1,1.4410743277207148,2.921630143872134,2,73,0.16290821051671475
"('personality_fault', 'personality_imagination')",0.8014355919603315,1,1.6529780237537037,3.3512431166513443,2,73,0.186863152505871
"('personality_fault', 'personality_lazy')",0.0990974635106076,1,0.10450752887108822,0.21187827771124734,2,73,0.011814195969225824
"('personality_fault', 'personality_nervous')",0.1293311301814967,1,0.1387566255313335,0.28131480244708706,2,73,0.01568593175787133
"('personality_fault', 'personality_outgoing')",0.5678433030390545,1,0.8486833291954631,1.7206182564510757,2,73,0.09594056308898148
"('personality_fault', 'personality_reserved')",0.0994733762381926,1,0.10492607567548322,0.2127268383557742,2,73,0.011861511162904504
"('personality_fault', 'personality_stress')",0.15600576752867823,1,0.17000430336492373,0.34466625887683167,2,73,0.019218368066499784
"('personality_fault', 'personality_thorough')",0.1510150471439839,1,0.16408151936105636,0.33265842281419644,2,73,0.018548818880322032
"('personality_fault', 'personality_trusting')",0.48359780633671023,1,0.6668884983954503,1.3520479145551594,2,73,0.07538931878664132
"('personality_imagination', 'personality_lazy')",0.7426276495643134,1,1.3827810401054466,2.8034464922685767,2,73,0.1563183664067585
"('personality_imagination', 'personality_nervous')",0.7571224606756759,1,1.442991373052389,2.925516756325391,2,73,0.16312492551777677
"('personality_imagination', 'personality_outgoing')",0.8376413182970719,1,1.8639814413061417,3.779030867305602,2,73,0.21071632128776652
"('personality_imagination', 'personality_reserved')",0.7482563378649145,1,1.405738227688049,2.8499898314771404,2,73,0.15891359295103644
"('personality_imagination', 'personality_stress')",0.7736377060360073,1,1.5162666207668523,3.0740747927875907,2,73,0.17140842571669618
"('personality_imagination', 'personality_thorough')",0.7448370466163258,1,1.3917302141086636,2.821590023124414,2,73,0.15733003797318817
"('personality_imagination', 'personality_trusting')",0.8511530238617521,1,1.9554166863630185,3.9644064326263937,2,73,0.22105274312516943
"('personality_lazy', 'personality_nervous')",0.05176910500705409,1,0.05319597318275598,0.10784937028832718,2,73,0.006013611255988896
"('personality_lazy', 'personality_outgoing')",0.5269482067758331,1,0.7562788609006704,1.53327769059314,2,73,0.08549457409029981
