,p,adjustedP,F,T2,df1,df2,D2
"('song_like_dislike', 'age')",0.22792257767809415,1,0.2594500363553364,0.5249337944863783,2,86,0.02361936689043866
"('song_like_dislike', 'musical_expertise')",0.38649289229135275,1,0.4913494852986449,0.9941257028135374,2,86,0.04473063071304592
"('song_like_dislike', 'concentration')",0.301465716528636,1,0.3602718963882662,0.7289222089716083,2,86,0.03279781425605315
"('song_like_dislike', 'personality_artistic')",0.22572536712439165,1,0.2565911836775339,0.519149604184778,2,86,0.023359107569486975
"('song_like_dislike', 'personality_fault')",0.44894089726754943,1,0.6000615679615108,1.214078056108173,2,86,0.05462737461760738
"('song_like_dislike', 'personality_imagination')",0.8217304187912349,1,1.759503853722661,3.559926401717942,2,86,0.16017869047163644
"('song_like_dislike', 'personality_lazy')",0.5876322614941883,1,0.895027299746846,1.8108691878598977,2,86,0.08147995840218952
"('song_like_dislike', 'personality_nervous')",0.256877294284382,1,0.2979214166242867,0.6027712382863475,2,86,0.02712165834554344
"('song_like_dislike', 'personality_outgoing')",0.5375092400202346,1,0.7780846316738774,1.5742642547820311,2,86,0.07083393259636035
"('song_like_dislike', 'personality_reserved')",0.4538949687356305,1,0.6092192985937805,1.2326064878525327,2,86,0.05546106037354672
"('song_like_dislike', 'personality_stress')",0.24898923139752588,1,0.2872907555749976,0.5812626915122044,2,86,0.02615388247956835
"('song_like_dislike', 'personality_thorough')",0.31437655319834673,1,0.3790879763703541,0.7669919521911814,2,86,0.034510760235093606
"('song_like_dislike', 'personality_trusting')",0.24588322724012499,1,0.28313614378034696,0.5728568490439578,2,86,0.025775662065173028
"('song_positivity', 'song_tension')",0.9299673535414612,1,2.7427143058847827,5.549212665394792,2,86,0.24968651527812769
"('song_positivity', 'age')",0.22483960442439746,1,0.25544103992775524,0.516822569156156,2,86,0.02325440275778457
"('song_positivity', 'musical_expertise')",0.34165897423283664,1,0.4200707939852581,0.8499106762027315,2,86,0.03824168361073969
"('song_positivity', 'concentration')",0.30743144924804766,1,0.3689216566373641,0.7464228866848994,2,86,0.03358525627651974
"('song_positivity', 'personality_artistic')",0.2184981147122934,1,0.24724582339553902,0.5002415496607417,2,86,0.02250834070768757
"('song_positivity', 'personality_fault')",0.4550891013775542,1,0.6114393987031947,1.2370983183064639,2,86,0.0556631700350229
"('song_positivity', 'personality_imagination')",0.8137421701074684,1,1.7138984422999792,3.46765498790926,2,86,0.15602694333868763
"('song_positivity', 'personality_lazy')",0.5312868690184502,1,0.7644805762367951,1.5467397705256087,2,86,0.06959546995792679
"('song_positivity', 'personality_nervous')",0.25627919590281034,1,0.29711132915503746,0.6011322241043782,2,86,0.027047910993574144
"('song_positivity', 'personality_outgoing')",0.5270292122104442,1,0.7552780701925529,1.5281207466686535,2,86,0.06875770801491919
"('song_positivity', 'personality_reserved')",0.4582265926776207,1,0.6172963479929723,1.248948425009037,2,86,0.05619636492710025
"('song_positivity', 'personality_stress')",0.2435505057541554,1,0.28002737718531623,0.5665670189563374,2,86,0.025492651510168874
"('song_positivity', 'personality_thorough')",0.26641901755753183,1,0.3109360923766772,0.6291032566690911,2,86,0.028306466048305917
"('song_positivity', 'personality_trusting')",0.2329158031464062,1,0.2659779405967304,0.5381414146957103,2,86,0.02421364302725896
"('song_tension', 'age')",0.8849977363597987,1,2.2181190630212035,4.487822290298714,2,86,0.20192931437643355
"('song_tension', 'musical_expertise')",0.893602686400812,1,2.299976326350445,4.653440474243923,2,86,0.20938129535273467
"('song_tension', 'concentration')",0.8948215405056352,1,2.3121160358153507,4.6780022119985,2,86,0.21048644937708114
"('song_tension', 'personality_artistic')",0.8854345271032267,1,2.222120871941257,4.495918973462543,2,86,0.20229362418511948
"('song_tension', 'personality_fault')",0.9119143382674367,1,2.499386778279835,5.056898830473155,2,86,0.22753488165425217
"('song_tension', 'personality_imagination')",0.9752753179903998,1,3.8638008434588604,7.817457520486531,2,86,0.35174606639196226
"('song_tension', 'personality_lazy')",0.9435788037817953,1,2.9731944104684875,6.015532876994381,2,86,0.2706685672661779
"('song_tension', 'personality_nervous')",0.8851678504757223,1,2.2196757700424588,4.490971906830091,2,86,0.20207103119710723
