_id,location,language,nationality,age,sex,hearing_impairments,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,musical_expertise,concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,musical_background,visual_impairments,song_inspired,song_wonder,song_spirituality,song_thrills,song_chills,song_tenderness,song_nostalgia,song_goosebumps,song_overwhelmed,song_shivers,song_chillsshiversthrills,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song,musicpref_traditional_irish,musicpref_world,musicpref_dance,musicpref_rock,musicpref_jazz,musicpref_hip_hop,musicpref_none,musicpref_classical,musicpref_hiphop,musicpref_pop,musicpref_folk
5410f6d108ad6ee3090e39ad,dublin,,british,32.0,male,False,,,,,,,,,,,,,True,,,,,,,,,1.0,4.0,1.0,3.0,4.0,5.0,,,4.0,5.0,4.0,1.0,4.0,5.0,5.0,4.0,4.0,3.0,,,,,,hallelujah,0,0,0,0,0,0,1,0,0,0,0
5410f76708ad6ee3090e3c1a,dublin,,irish,33.0,male,True,,,,,,,,,,,,,True,,,,,,,,,4.0,3.0,4.0,4.0,4.0,3.0,,,2.0,2.0,4.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,,,,,,hallelujah,0,0,1,0,0,0,0,0,0,0,0
5410f7fc08ad6ee3090e3e4e,dublin,,british,25.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,4.0,1.0,5.0,3.0,4.0,,,2.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,1.0,,,,,,hallelujah,0,0,0,1,0,0,0,0,0,1,0
5410f88208ad6ee3090e407b,dublin,,irish,27.0,female,True,,,,,,,,,,,,,True,,,,,,,,,1.0,4.0,1.0,4.0,3.0,5.0,,,2.0,4.0,4.0,2.0,1.0,2.0,4.0,3.0,4.0,2.0,,,,,,hallelujah,1,0,0,1,0,0,0,0,0,1,0
5410fa6408ad6ee3090e46e0,dublin,,irish,23.0,female,False,,,,,,,,,,,,,True,,,,,,,,,5.0,2.0,5.0,2.0,5.0,4.0,,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,hallelujah,0,0,0,1,0,1,0,0,0,1,0
5410fa6408ad6ee3090e46e4,dublin,,irish,25.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,4.0,1.0,3.0,2.0,4.0,,,3.0,3.0,4.0,1.0,1.0,4.0,5.0,1.0,3.0,1.0,,,,,,hallelujah,1,1,1,1,1,1,0,1,0,1,0
5410fb2f08ad6ee3090e49d7,dublin,,other,28.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,5.0,1.0,1.0,1.0,5.0,,,4.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,3.0,,,,,,hallelujah,0,1,1,0,0,0,0,0,0,1,0
5410fba108ad6ee3090e4b8b,dublin,,irish,15.0,female,False,,,,,,,,,,,,,True,,,,,,,,,3.0,4.0,4.0,4.0,3.0,2.0,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,,,hallelujah,0,0,0,1,0,0,0,0,0,0,0
5410fba308ad6ee3090e4baa,dublin,,irish,43.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,5.0,1.0,5.0,4.0,5.0,,,1.0,5.0,5.0,1.0,4.0,5.0,5.0,3.0,5.0,4.0,,,,,,hallelujah,0,0,0,0,0,0,0,0,0,1,0
5410fc6508ad6ee3090e4e96,dublin,,irish,24.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,2.0,1.0,3.0,2.0,3.0,,,3.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,,,,,,hallelujah,0,0,0,1,0,1,0,0,0,0,0
