_id,location,sex,musical_background,nationality,visual_impairments,musical_expertise,hearing_impairments,age,critical_reaction,control_activity,control_tension,control_familiarity,control_engagement,control_positivity,control_like_dislike,song_chillsshiversthrills,song_activity,song_tension,song_familiarity,song_engagement,song_positivity,song_like_dislike,control_power,song_transcendence,song_sadness,song_wonder,song_joyfulactivation,song_tenderness,song_peacefulness,song_nostalgia,song_power,song,musicpref_rock,musicpref_world,musicpref_dance,musicpref_traditional_irish,musicpref_classical,musicpref_pop,musicpref_jazz,musicpref_hip_hop,song_inspired,song_spirituality,song_thrills,song_chills,song_goosebumps,song_overwhelmed,song_shivers,musicpref_none,language,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,concentration,musicpref_folk,musicpref_hiphop
5410fec908ad6ee3090e579f,dublin,male,,irish,,,False,21.0,True,,,,,,,2.0,3.0,5.0,3.0,1.0,4.0,2.0,,,,,,,,,,dust_dublin,1,0,0,0.0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,
5410ffd808ad6ee3090e5b8c,dublin,male,True,irish,,3.0,False,11.0,True,,,,,,,1.0,4.0,3.0,1.0,4.0,3.0,4.0,,,,,,,,,,dust_dublin,1,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5410ffda08ad6ee3090e5bab,dublin,female,False,other,,3.0,False,25.0,True,,,,,,,1.0,4.0,4.0,1.0,4.0,3.0,4.0,,,,,,,,,,dust_dublin,0,0,0,0.0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,
541100f808ad6ee3090e5ff6,dublin,male,False,irish,,2.0,False,14.0,True,,,,,,,3.0,4.0,5.0,2.0,1.0,1.0,1.0,,,,,,,,,,dust_dublin,1,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
541100f908ad6ee3090e5fff,dublin,female,True,irish,,3.0,False,14.0,True,,,,,,,1.0,5.0,4.0,1.0,4.0,3.0,4.0,,,,,,,,,,dust_dublin,1,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5411015508ad6ee3090e615e,dublin,male,True,other,,3.0,False,17.0,True,,,,,,,1.0,4.0,4.0,2.0,2.0,3.0,3.0,,,,,,,,,,dust_dublin,1,0,0,0.0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,
541101b908ad6ee3090e62f7,dublin,female,False,irish,,1.0,False,27.0,True,,,,,,,3.0,4.0,5.0,3.0,2.0,3.0,2.0,,,,,,,,,,dust_dublin,1,0,1,0.0,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
541101b908ad6ee3090e6300,dublin,male,True,irish,,3.0,False,55.0,True,,,,,,,4.0,2.0,4.0,5.0,1.0,1.0,1.0,,,,,,,,,,dust_dublin,1,1,0,1.0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,
5411022e08ad6ee3090e64bb,dublin,male,False,other,,3.0,False,27.0,True,,,,,,,2.0,4.0,4.0,1.0,2.0,2.0,3.0,,,,,,,,,,dust_dublin,1,1,0,0.0,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
5411030f08ad6ee3090e67cf,dublin,male,False,irish,,1.0,False,27.0,True,,,,,,,1.0,4.0,4.0,3.0,2.0,4.0,4.0,,,,,,,,,,dust_dublin,1,0,0,0.0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5411030f08ad6ee3090e67d7,dublin,female,True,other,,3.0,True,16.0,True,,,,,,,1.0,3.0,5.0,2.0,1.0,2.0,1.0,,,,,,,,,,dust_dublin,0,0,0,0.0,1,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5411047508ad6ee3090e6cbd,dublin,male,False,irish,,1.0,False,13.0,True,,,,,,,2.0,3.0,5.0,4.0,2.0,2.0,2.0,,,,,,,,,,dust_dublin,0,0,0,0.0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5411047608ad6ee3090e6cc9,dublin,male,False,other,,3.0,False,13.0,True,,,,,,,2.0,5.0,2.0,2.0,5.0,3.0,4.0,,,,,,,,,,dust_dublin,1,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5411054d08ad6ee3090e6fe5,dublin,female,True,irish,,2.0,False,30.0,True,,,,,,,2.0,3.0,4.0,2.0,2.0,2.0,2.0,,,,,,,,,,dust_dublin,1,1,1,1.0,1,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,
