_id,location,language,nationality,age,sex,hearing_impairments,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,musical_expertise,concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,song,musicpref_pop,musicpref_hiphop,musicpref_jazz,musicpref_classical,musicpref_folk,musicpref_rock,musicpref_world,musicpref_dance
570eb76283a73509d0e03220,taipei_city,zh_TW,taiwanese,13,male,False,3,3,3,3,3,3,3,3,3,3,3,5,True,3,1,5,3,5,5,-1,5,5,5,5,5,5,5,hallelujah_taiwan,0,0,0,0,1,0,0,0
570eb76f83a73509d0e0361a,taichung_city,en,taiwanese,27,female,False,4,4,3,4,1,4,2,4,5,4,2,2,True,4,3,4,3,5,4,-1,3,4,4,4,3,4,1,hallelujah_taiwan,1,0,0,0,1,0,0,0
570eb7aa83a73509d0e04895,taichung_city,en,taiwanese,14,male,False,4,5,4,3,4,2,4,5,3,3,3,5,True,3,4,3,3,3,3,-1,3,4,3,4,3,4,1,hallelujah_taiwan,0,0,0,0,0,0,1,0
570eb7b083a73509d0e04a56,taichung_city,en,taiwanese,13,male,False,5,1,5,1,5,1,5,5,1,5,4,5,True,1,5,5,5,5,5,-1,1,5,5,5,5,5,5,hallelujah_taiwan,1,1,0,0,1,1,0,0
570eb76a83a73509d0e03493,taichung_city,en,taiwanese,17,male,False,1,1,1,1,1,1,1,1,1,1,1,2,True,3,3,3,1,3,3,-1,3,3,3,3,3,3,3,hallelujah_taiwan,0,0,0,0,0,0,1,0
570eb73983a73509d0e02466,taichung_city,en,taiwanese,9,male,False,4,1,3,3,5,1,5,5,4,3,2,4,True,2,1,4,4,4,3,-1,5,5,4,5,4,5,4,hallelujah_taiwan,0,0,1,0,0,0,0,0
570eb72f83a73509d0e02101,taichung_city,en,taiwanese,19,female,False,4,1,4,4,3,3,4,2,4,4,1,5,True,3,5,3,4,5,4,-1,5,2,2,3,2,4,4,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb73183a73509d0e021ba,taichung_city,en,taiwanese,20,female,False,4,2,4,2,5,4,2,5,2,4,3,4,True,5,1,3,1,3,1,-1,5,4,5,4,4,5,1,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb74583a73509d0e0280f,taipei_city,en,taiwanese,12,female,False,3,2,5,1,4,5,3,3,2,1,3,4,True,3,1,3,1,2,3,-1,2,5,5,4,4,4,1,hallelujah_taiwan,1,0,0,1,0,0,0,0
570eb73483a73509d0e0227d,taipei_city,en,taiwanese,20,male,False,4,1,4,4,2,5,4,5,3,2,3,4,True,3,5,4,3,3,4,-1,2,5,4,4,4,5,1,hallelujah_taiwan,0,0,1,0,0,1,0,0
570eb76883a73509d0e033ec,taipei_city,en,taiwanese,17,male,False,4,1,4,4,4,2,4,4,3,4,3,3,True,3,4,2,3,3,4,-1,3,5,4,5,4,4,1,hallelujah_taiwan,1,0,0,0,0,1,0,0
570eb77883a73509d0e0394c,taipei_city,en,taiwanese,18,male,False,4,2,4,4,2,4,4,4,4,4,2,4,True,2,4,4,4,3,4,-1,2,4,5,4,2,4,3,hallelujah_taiwan,1,0,0,0,0,1,0,0
570eb72483a73509d0e01d55,taipei_city,en,taiwanese,19,male,False,4,2,4,2,4,5,3,3,4,2,2,5,False,3,3,3,4,3,2,-1,3,4,5,5,2,4,2,hallelujah_taiwan,1,0,0,1,0,0,0,1
570eb7b383a73509d0e04b39,taipei_city,en,taiwanese,16,female,False,5,3,1,4,2,3,3,4,3,3,1,5,False,3,5,5,4,4,4,-1,4,5,5,5,4,5,1,hallelujah_taiwan,1,0,0,0,0,1,0,0
570eb76583a73509d0e032c2,taipei_city,en,taiwanese,19,female,False,3,1,3,4,1,4,2,4,3,2,3,4,False,4,3,3,4,3,3,-1,3,3,3,4,4,3,3,hallelujah_taiwan,0,0,0,0,0,1,0,0
570eb7b783a73509d0e04cb8,taipei_city,en,taiwanese,34,female,False,5,3,3,4,1,2,2,3,1,4,1,5,False,5,5,4,4,4,5,-1,4,3,4,2,3,3,1,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb7a083a73509d0e04592,taipei_city,en,taiwanese,9,male,False,4,2,3,3,2,2,3,2,2,3,1,3,False,2,3,4,3,3,3,-1,3,5,4,4,4,4,1,hallelujah_taiwan,0,0,0,1,0,0,0,0
