_id,location,language,nationality,age,sex,hearing_impairments,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,musical_expertise,concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,song,musicpref_world,musicpref_folk,musicpref_classical,musicpref_dance,musicpref_rock,musicpref_pop,musicpref_jazz,musicpref_hiphop
570eb77a83a73509d0e039ce,taipei_city,en,taiwanese,30,female,False,4,1,4,4,2,4,3,5,5,4,2,3,True,3,2,2,1,2,2,-1,4,5,4,5,5,5,1,humming,0,0,0,0,0,1,0,0
570eb76c83a73509d0e03553,taipei_city,en,taiwanese,29,male,False,4,1,4,4,2,4,4,4,4,3,2,4,True,2,3,4,2,3,3,-1,4,5,5,5,4,2,3,humming,0,0,0,0,1,1,1,0
570eb7b683a73509d0e04c4d,taipei_city,en,taiwanese,47,male,False,4,5,4,2,4,4,2,4,4,4,3,5,True,4,2,2,2,3,2,-1,4,4,4,4,2,2,2,humming,0,0,0,0,0,1,0,0
570eb72c83a73509d0e01ff8,taipei_city,en,taiwanese,16,male,False,4,2,4,3,3,4,2,4,3,4,3,2,True,2,2,4,2,3,2,-1,2,4,3,4,3,2,1,humming,1,0,1,0,0,1,0,0
570eb74283a73509d0e0272b,taipei_city,en,taiwanese,34,male,False,4,1,4,5,2,4,2,5,5,4,3,4,True,2,2,2,3,3,2,-1,2,4,4,4,4,4,1,humming,0,0,1,0,0,1,1,0
570eb7b383a73509d0e04b60,taipei_city,zh_TW,taiwanese,11,male,False,2,4,5,4,4,5,1,4,3,1,3,4,True,5,5,5,4,5,4,-1,5,5,5,5,5,5,5,humming,1,0,0,0,1,1,0,1
570eb76d83a73509d0e0359a,taipei_city,en,taiwanese,12,female,False,2,2,4,2,4,4,2,4,2,2,2,3,True,4,4,4,2,2,3,-1,3,3,2,4,4,4,1,humming,0,0,0,0,0,1,0,0
570eb76683a73509d0e03336,taipei_city,en,taiwanese,7,male,False,3,2,5,3,4,2,3,3,2,4,3,5,True,4,4,4,4,3,4,-1,3,5,2,3,4,3,1,humming,0,0,0,0,0,1,0,0
570eb7ac83a73509d0e04920,taipei_city,en,taiwanese,18,male,False,2,2,5,3,5,1,5,1,5,5,5,1,True,3,3,4,5,2,5,-1,5,2,1,3,3,3,1,humming,0,0,0,0,1,0,0,0
570eb79f83a73509d0e04532,taipei_city,en,taiwanese,12,male,False,2,1,5,3,5,1,2,1,4,5,2,4,True,2,3,5,4,2,5,-1,5,3,3,5,4,4,1,humming,0,0,0,0,0,0,0,1
570eb72383a73509d0e01cfb,taipei_city,en,taiwanese,11,male,False,4,2,2,2,3,2,3,2,3,3,3,5,True,4,4,5,4,4,4,-1,4,3,3,5,3,3,1,humming,0,0,0,0,0,1,0,0
