,p,adjustedP,F,T2,df1,df2,D2
"('song_like_dislike', 'musical_expertise')",0.27577999790376595,1,0.32385968778775387,0.6551644258694791,2,87,0.030068739586054622
"('song_like_dislike', 'concentration')",0.11014486174015954,1,0.1169358358795297,0.23797468354430606,2,57,0.01652601969057681
"('song_like_dislike', 'personality_artistic')",0.15523187140446,1,0.16919333172737414,0.34432327158553333,2,57,0.023911338304550923
"('song_like_dislike', 'personality_fault')",0.9954668467805537,1,5.94105330801811,12.090564626843873,2,57,0.8396225435308245
"('song_like_dislike', 'personality_imagination')",0.8537280631239529,1,1.9885981418322993,4.046971657062223,2,57,0.28103969840709886
"('song_like_dislike', 'personality_lazy')",0.2698921069167298,1,0.3163053238056057,0.6437090800254432,2,57,0.044702019446211334
"('song_like_dislike', 'personality_nervous')",0.2676602631222165,1,0.31321940860982334,0.6374289719077106,2,57,0.04426590082692435
"('song_like_dislike', 'personality_outgoing')",0.8656331054563791,1,2.0795503964506166,4.232067473478448,2,57,0.29389357454711446
"('song_like_dislike', 'personality_reserved')",0.5312147565743529,1,0.7677700558389914,1.5624794118828598,2,57,0.1085055147140875
"('song_like_dislike', 'personality_stress')",0.7937218095807907,1,1.6230629751028685,3.3030755282795217,2,57,0.22938024501941123
"('song_like_dislike', 'personality_thorough')",0.1182066909094656,1,0.1260756349952972,0.25657497648165745,2,57,0.0178177067001151
"('song_like_dislike', 'personality_trusting')",0.32220576259444866,1,0.3915771800342787,0.7968939102451988,2,57,0.055339854878138806
"('song_positivity', 'song_tension')",0.06444057485615783,1,0.06664209076299092,0.13422945940914482,2,141,0.0038542456939016662
"('song_positivity', 'age')",0.9377729480511533,1,2.832382430263498,5.704940497835699,2,141,0.1638108537763391
"('song_positivity', 'musical_expertise')",0.4033749600074915,1,0.5195445557152808,1.0510326644355106,2,87,0.048237093217336026
"('song_positivity', 'concentration')",0.08310299217344838,1,0.08689231963688487,0.1768334925943622,2,57,0.012280103652386265
"('song_positivity', 'personality_artistic')",0.1471602278306343,1,0.15962896946279623,0.32485895539797127,2,57,0.02255964968041467
"('song_positivity', 'personality_fault')",0.9954765801667214,1,5.943650943242051,12.09585104238733,2,57,0.8399896557213424
"('song_positivity', 'personality_imagination')",0.8410493984624798,1,1.8998015523989646,3.8662628083908754,2,57,0.2684904728049219
"('song_positivity', 'personality_lazy')",0.23652515924875586,1,0.27115691458005337,0.55182810686467,2,57,0.038321396310046524
"('song_positivity', 'personality_nervous')",0.24206355742340907,1,0.27850776179499065,0.5667877257582266,2,57,0.039360258733210175
"('song_positivity', 'personality_outgoing')",0.8639845401611983,1,2.066468927581744,4.205445536833023,2,57,0.29204482894673767
"('song_positivity', 'personality_reserved')",0.5357777667613522,1,0.7778166550034987,1.5829251224632606,2,57,0.10992535572661531
"('song_positivity', 'personality_stress')",0.7826516838827611,1,1.5678610352591014,3.190734738422031,2,57,0.2215788012793077
"('song_positivity', 'personality_thorough')",0.08706031297328834,1,0.09123116967187696,0.18566343301645136,2,57,0.012893293959475789
"('song_positivity', 'personality_trusting')",0.33164822079578515,1,0.4058025413038787,0.8258437682675427,2,57,0.05735026168524602
"('song_tension', 'age')",0.9213536429904573,1,2.585526255017545,5.204850238858849,2,153,0.13790024410020046
"('song_tension', 'musical_expertise')",0.037608199228522605,1,0.03834848086037567,0.07747167850580944,2,99,0.003135758415711334
"('song_tension', 'concentration')",0.017483012646124826,1,0.017643104245157307,0.03590526477961838,2,57,0.0024934211652512766
"('song_tension', 'personality_artistic')",0.07350614103464438,1,0.07645021595129503,0.15558289562017938,2,57,0.010804367751401346
"('song_tension', 'personality_fault')",0.9958325504276739,1,6.0428511322637695,12.297732128817497,2,57,0.8540091756123261
"('song_tension', 'personality_imagination')",0.8341463651059404,1,1.8544892945225298,3.7740483888528678,2,57,0.26208669367033804
"('song_tension', 'personality_lazy')",0.1715615951546704,1,0.18883563523278216,0.3842970822281181,2,57,0.02668729737695265
"('song_tension', 'personality_nervous')",0.16533679532345585,1,0.1813012181445914,0.3689638825398702,2,57,0.025622491843046543
"('song_tension', 'personality_outgoing')",0.8439640864173739,1,1.9195489287460772,3.906450451483245,2,57,0.2712812813530031
"('song_tension', 'personality_reserved')",0.5173088786489819,1,0.7377657629923219,1.5014180439843745,2,57,0.10426514194335935
"('song_tension', 'personality_stress')",0.708787305010403,1,1.2607929542832441,2.5658242578395845,2,57,0.17818224012774891
"('song_tension', 'personality_thorough')",0.009672869801549466,1,0.009721613580275424,0.019784336408981563,2,57,0.0013739122506237196
"('song_tension', 'personality_trusting')",0.28052733821047643,1,0.3311457925102057,0.6739107356348046,2,57,0.046799356641305884
"('age', 'musical_expertise')",0.7966189576144643,1,1.616393759661478,3.2627207370944644,2,108,0.12194006795201533
"('age', 'concentration')",0.3872396711998898,1,0.49401413560308394,1.0053621005255744,2,57,0.06981681253649823
