,p,adjustedP,F,T2,df1,df2,D2
"('song_like_dislike', 'musical_expertise')",0.5371671445363585,1,0.7764154614933279,1.5685160838249048,2,99,0.06451154860892754
"('song_like_dislike', 'concentration')",0.5472245184057131,1,0.8004628274132164,1.621450342708823,2,78,0.0847338566189772
"('song_like_dislike', 'personality_artistic')",0.6544918695697985,1,1.0773511987482718,2.1823267872080376,2,78,0.11404417404119423
"('song_like_dislike', 'personality_fault')",0.6118262738190738,1,0.9578763292620762,1.9403135900436927,2,78,0.10139703277002524
"('song_like_dislike', 'personality_imagination')",0.2848890278680578,1,0.33676319371638985,0.6821613411178153,2,78,0.0356484313745439
"('song_like_dislike', 'personality_lazy')",0.6186843020473469,1,0.9761436625521218,1.9773166497850672,2,78,0.10333074105328416
"('song_like_dislike', 'personality_nervous')",0.3147205882875958,1,0.37976570727313114,0.7692689967840348,2,78,0.040200508864197945
"('song_like_dislike', 'personality_outgoing')",0.21130807987567346,1,0.23810339456907037,0.4823120043835015,2,78,0.02520469184197653
"('song_like_dislike', 'personality_reserved')",0.2012457225605604,1,0.2253504830251476,0.4564791835637605,2,78,0.023854718624944902
"('song_like_dislike', 'personality_stress')",0.7365516158159756,1,1.356971448281327,2.7487370362621752,2,78,0.14364367737886205
"('song_like_dislike', 'personality_thorough')",0.5950261921018137,1,0.9144898630182455,1.8524281840625998,2,78,0.09680431155423909
"('song_like_dislike', 'personality_trusting')",0.31334437584299624,1,0.37773998722865765,0.765165615155486,2,78,0.03998607408231895
"('song_positivity', 'song_tension')",0.8297450419516564,1,1.7863839265690573,3.5908121352246707,2,198,0.07597402517685883
"('song_positivity', 'age')",0.9600229644897601,1,3.272369962532534,6.577794167110851,2,198,0.13917227658834538
"('song_positivity', 'musical_expertise')",0.08696378838277848,1,0.09106339740727655,0.1839664594086395,2,99,0.00756636244341985
"('song_positivity', 'concentration')",0.48423561468642284,1,0.6677574754883107,1.3526369375276035,2,78,0.0706861883482167
"('song_positivity', 'personality_artistic')",0.5075523569427897,1,0.7148393870316698,1.4480079891154336,2,78,0.0756700949150646
"('song_positivity', 'personality_fault')",0.48432236894816505,1,0.6679285754748464,1.352983524679817,2,78,0.07070430032197753
"('song_positivity', 'personality_imagination')",0.1136572294822472,1,0.12083834715049362,0.24477511345869218,2,78,0.01279147367106714
"('song_positivity', 'personality_lazy')",0.601453820427301,1,0.9308673925288812,1.88560317973799,2,78,0.09853797261856592
"('song_positivity', 'personality_nervous')",0.2381654676518239,1,0.2729767990335569,0.5529530031705384,2,78,0.028896253714073297
"('song_positivity', 'personality_outgoing')",0.019952516773199033,1,0.020159464732164956,0.0408358388164367,2,78,0.0021340018994395957
"('song_positivity', 'personality_reserved')",0.007082009159510717,1,0.007107853251733452,0.014397959150947248,2,78,0.0007524094782107917
"('song_positivity', 'personality_stress')",0.5843281182320959,1,0.8878135805784239,1.7983916119409098,2,78,0.09398046488207334
"('song_positivity', 'personality_thorough')",0.5323184049732095,1,0.7674203940565455,1.5545182341145407,2,78,0.08123611416985664
"('song_positivity', 'personality_trusting')",0.15861712251809693,1,0.1730914361548073,0.3506211142623019,2,78,0.018322780809836424
"('song_tension', 'age')",0.9768721751311835,1,3.8331751717647213,7.701842706230968,2,216,0.15089493224768133
"('song_tension', 'musical_expertise')",0.12092774149073993,1,0.12903026794679723,0.26026618149952263,2,117,0.009253908675538582
"('song_tension', 'concentration')",0.7235768707942851,1,1.3072540537665933,2.6480274422451506,2,78,0.13838078891732722
"('song_tension', 'personality_artistic')",0.8512442097708526,1,1.9527646454558591,3.95560017925674,2,78,0.20671200936761028
"('song_tension', 'personality_fault')",0.7553412394775123,1,1.4336116903807261,2.9039826548737784,2,78,0.1517565129321136
"('song_tension', 'personality_imagination')",0.5744031440254259,1,0.8636873745837101,1.7495205792849513,2,78,0.09142655930456842
"('song_tension', 'personality_lazy')",0.7444806962940895,1,1.3886066365023628,2.8128185713765808,2,78,0.14699245437516326
"('song_tension', 'personality_nervous')",0.5941122909423481,1,0.9121829238455476,1.8477551534307244,2,78,0.0965601080179927
"('song_tension', 'personality_outgoing')",0.5573010230364246,1,0.8234377399627916,1.6679892681297572,2,78,0.08716589078613571
"('song_tension', 'personality_reserved')",0.5579423766321566,1,0.8249181635885965,1.6709880749615158,2,78,0.08732260262702116
"('song_tension', 'personality_stress')",0.8699027490253686,1,2.093741140783582,4.241167951843666,2,78,0.22163522845118513
