,p,adjustedP,F,T2,df1,df2,D2
"('song_like_dislike', 'musical_expertise')",0.9851918165101857,1,4.358983560256836,8.788273306969428,2,124,0.28313310755583904
"('song_like_dislike', 'concentration')",0.7017984508698931,1,1.225205443714944,2.475672855341536,2,97,0.10315303563923067
"('song_like_dislike', 'personality_artistic')",0.8489564750086174,1,1.9275035050804565,3.8947493504718502,2,97,0.16228122293632707
"('song_like_dislike', 'personality_fault')",0.9522625908519916,1,3.1394683555127907,6.343668017324815,2,97,0.2643195007218673
"('song_like_dislike', 'personality_imagination')",0.6370274544059558,1,1.024090218230717,2.0692956986929953,2,97,0.08622065411220814
"('song_like_dislike', 'personality_lazy')",0.715238624546212,1,1.272511010715387,2.571259361857895,2,97,0.10713580674407895
"('song_like_dislike', 'personality_nervous')",0.6382847755839125,1,1.0276335843935354,2.0764554901147725,2,97,0.08651897875478219
"('song_like_dislike', 'personality_outgoing')",0.6362838610545298,1,1.0220005234778669,2.0650732226975452,2,97,0.08604471761239772
"('song_like_dislike', 'personality_reserved')",0.7277170513784015,1,1.3185177223467124,2.664221377112945,2,97,0.11100922404637269
"('song_like_dislike', 'personality_stress')",0.7117659029402033,1,1.2600730942751939,2.5461270770921445,2,97,0.10608862821217269
"('song_like_dislike', 'personality_thorough')",0.6477356208899872,1,1.0546771899677834,2.1311003013782015,2,97,0.0887958458907584
"('song_like_dislike', 'personality_trusting')",0.7891268143035025,1,1.5817438393970051,3.196100953833124,2,97,0.13317087307638018
"('song_positivity', 'song_tension')",0.8127987942645974,1,1.6884567278806997,3.3923331519064286,2,219,0.06226008264907632
"('song_positivity', 'age')",0.3762782157073924,1,0.47306983007248093,0.9504599325657151,2,219,0.017443957095700128
"('song_positivity', 'musical_expertise')",0.9566765227007403,1,3.2198841824349858,6.491701980715697,2,124,0.2091441277399527
"('song_positivity', 'concentration')",0.589411095347854,1,0.8983819716622148,1.815287282946331,2,97,0.07563697012276378
"('song_positivity', 'personality_artistic')",0.7217242843213822,1,1.2961602584944631,2.6190454707723174,2,97,0.10912689461551324
"('song_positivity', 'personality_fault')",0.9170611645509732,1,2.5546601322491065,5.161993669286854,2,97,0.21508306955361894
"('song_positivity', 'personality_imagination')",0.414560938648492,1,0.5383591969118153,1.0878185834506784,2,97,0.04532577431044493
"('song_positivity', 'personality_lazy')",0.5425913579700282,1,0.7885193905047072,1.5932969127723982,2,97,0.06638737136551659
"('song_positivity', 'personality_nervous')",0.4140770382512599,1,0.5375238144525386,1.0861305941515214,2,97,0.045255441422980054
"('song_positivity', 'personality_outgoing')",0.40729814961070016,1,0.5258945299221872,1.062632246028337,2,97,0.044276343584514044
"('song_positivity', 'personality_reserved')",0.5588397175496971,1,0.8252900521783659,1.6675963940923684,2,97,0.06948318308718202
"('song_positivity', 'personality_stress')",0.5296480546614684,1,0.7601698196333927,1.536013243795309,2,97,0.06400055182480453
"('song_positivity', 'personality_thorough')",0.4150773522203548,1,0.5392514862624507,1.089621559870519,2,97,0.04540089832793829
"('song_positivity', 'personality_trusting')",0.6648286061932853,1,1.1055248466935375,2.233844020123024,2,97,0.09307683417179267
"('song_tension', 'age')",0.5487265684556902,1,0.7983591824142785,1.6034555731189728,2,237,0.027568546281864996
"('song_tension', 'musical_expertise')",0.991776141710517,1,4.966738453336538,10.003430969396126,2,142,0.2891741408617301
"('song_tension', 'concentration')",0.5352113985972928,1,0.7722563481542204,1.5604355076105896,2,97,0.06501814615044123
"('song_tension', 'personality_artistic')",0.684601713913916,1,1.1677556595641372,2.3595887554079473,2,97,0.09831619814199781
"('song_tension', 'personality_fault')",0.9052706343904617,1,2.4149296832372116,4.879651731077252,2,97,0.20331882212821883
"('song_tension', 'personality_imagination')",0.31960082797846934,1,0.386608382441537,0.7811880717375387,2,97,0.03254950298906411
"('song_tension', 'personality_lazy')",0.5306012755920944,1,0.7622303277027095,1.5401767446364028,2,97,0.06417403102651678
"('song_tension', 'personality_nervous')",0.3163262830490972,1,0.3817692124322411,0.7714099550177242,2,97,0.032142081459071846
"('song_tension', 'personality_outgoing')",0.31619581689438264,1,0.38157689800476335,0.7710213609168415,2,97,0.032125890038201724
"('song_tension', 'personality_reserved')",0.46843162517370923,1,0.6360581581524528,1.2852309175039254,2,97,0.05355128822933022
"('song_tension', 'personality_stress')",0.43983538279121953,1,0.5830007690921098,1.17802217259849,2,97,0.04908425719160375
"('song_tension', 'personality_thorough')",0.31789079980878426,1,0.38407831999810005,0.7760757806147176,2,97,0.03233649085894656
"('song_tension', 'personality_trusting')",0.6187948936465328,1,0.9740702611514158,1.96822444521317,2,97,0.08200935188388209
"('age', 'musical_expertise')",0.9581960350665705,1,3.2424587912616185,6.527864056579682,2,151,0.17720625149185107
"('age', 'concentration')",0.7106568975410157,1,1.2561332756697248,2.5381662065078974,2,97,0.10575692527116239
"('age', 'personality_artistic')",0.8238081466388988,1,1.767631492313326,3.5717089947774423,2,97,0.14882120811572677
